Luigi,ICs,Fox,Falcon,Puff,Peach,Marth,Sheik,G&W,Falco,Samus,Ganon,Mario,Doc,Pikachu,DK,Yoshi,Link,Yoshi',Young Link,Zelda
30,59,249,74,62,89,134,108,1,145,29,9,6,10,9,4,11,4,1,1,1
725,1793,6983,2055,1799,2549,3271,3265,34,3520,1004,291,116,259,387,131,202,93,13,17,12
,,,,,,,,,,,,,,,,,,,,
Character,Players,Matches,,,,,,,,,,,,,,,,,,
Zelda,1,12,,,,,,,,,,,,,,,,,,
Young Link,1,17,,,,,,,,,,,,,,,,,,
G&W,1,34,,,,,,,,,,,,,,,,,,
Link,4,93,,,,,,,,,,,,,,,,,,
Mario,6,116,,,,,,,,,,,,,,,,,,
DK,4,131,,,,,,,,,,,,,,,,,,
Yoshi,12,215,,,,,,,,,,,,,,,,,,
Doc,10,259,,,,,,,,,,,,,,,,,,
Ganon,9,291,,,,,,,,,,,,,,,,,,
Pikachu,9,387,,,,,,,,,,,,,,,,,,
Luigi,30,725,,,,,,,,,,,,,,,,,,
Samus,29,1004,,,,,,,,,,,,,,,,,,
ICs,59,1793,,,,,,,,,,,,,,,,,,
Puff,62,1799,,,,,,,,,,,,,,,,,,
Falcon,74,2055,,,,,,,,,,,,,,,,,,
Peach,89,2549,,,,,,,,,,,,,,,,,,
Sheik,108,3265,,,,,,,,,,,,,,,,,,
Marth,134,3271,,,,,,,,,,,,,,,,,,
Falco,145,3520,,,,,,,,,,,,,,,,,,
Fox,249,6983,,,,,,,,,,,,,,,,,,
